,Start Time,Start Location,End Time,End Location,Total Ride Time,start station latitude,start station longitude,end station latitude,end station longtiude,Day of Week,Hour
22,2019-04-12 17:48:47,Broadway & W 36 St,2019-04-12 18:09:31,E 2 St & Avenue B,0 days 00:20:44.000000000,40.75097711,-73.98765428,40.72217444,-73.98368779,Friday,17
58,2019-04-13 14:34:31,E 2 St & Avenue B,2019-04-13 15:11:47,Little West St & 1 Pl,0 days 00:37:16.000000000,40.72217444,-73.98368779,40.70569254,-74.01677685,Saturday,14
30,2019-04-13 16:34:25,Little West St & 1 Pl,2019-04-13 17:38:23,E 2 St & Avenue B,0 days 01:03:58.000000000,40.70569254,-74.01677685,40.72217444,-73.98368779,Saturday,16
57,2019-04-14 11:45:23,E 2 St & Avenue B,2019-04-14 11:49:10,St Marks Pl & 1 Ave,0 days 00:03:47.000000000,40.72217444,-73.98368779,40.72779126,-73.98564945,Sunday,11
68,2019-04-14 12:12:06,E 10 St & Avenue A,2019-04-14 12:14:22,E 6 St & Avenue B,0 days 00:02:16.000000000,40.72740794,-73.98142006,40.72453734,-73.98185424,Sunday,12
14,2019-04-14 12:18:04,E 6 St & Avenue B,2019-04-14 12:19:46,E 2 St & Avenue B,0 days 00:01:42.000000000,40.72453734,-73.98185424,40.72217444,-73.98368779,Sunday,12
29,2019-04-24 19:21:54,W 33 St & 7 Ave,2019-04-24 19:40:40,E 2 St & Avenue B,0 days 00:18:46.000000000,40.75019995,-73.99093085,40.72217444,-73.98368779,Wednesday,19
38,2019-04-26 18:24:25,Broadway & W 37 St,2019-04-26 18:25:16,Broadway & W 36 St,0 days 00:00:51.000000000,40.75172632,-73.98753523,40.75097711,-73.98765428,Friday,18
21,2019-04-26 18:25:49,Broadway & W 36 St,2019-04-26 18:44:38,E 2 St & Avenue B,0 days 00:18:49.000000000,40.75097711,-73.98765428,40.72217444,-73.98368779,Friday,18
53,2019-05-01 19:55:19,E 2 St & Avenue B,2019-05-01 19:59:26,E 13 St & Avenue A,0 days 00:04:07.000000000,40.72217444,-73.98368779,40.72955361,-73.98057249,Wednesday,19
52,2019-05-04 20:09:05,E 2 St & Avenue B,2019-05-04 20:13:46,E 13 St & Avenue A,0 days 00:04:41.000000000,40.72217444,-73.98368779,40.72955361,-73.98057249,Saturday,20
